InvoiceNo,StockCode,year,month,day,hour,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,amount_spent
556415,20674,2011,6,5,12,green polkadot bowl,24,2011-06-10 12:19:00,1.25,12409,Switzerland,30.0
556510,22028,2011,6,1,10,penny farthing birthday card,12,2011-06-13 10:36:00,0.42,14911,EIRE,5.04
550439,22781,2011,4,1,12,gumball magazine rack,3,2011-04-18 12:17:00,7.65,18231,United Kingdom,22.950000000000006
550477,10133,2011,4,1,14,colouring pencils brown tube,5,2011-04-18 14:01:00,0.85,17338,United Kingdom,4.25
544569,22921,2011,2,1,12,herb marker chives ,6,2011-02-21 12:58:00,0.65,16980,United Kingdom,3.9
538626,47591D,2010,12,1,12,pink fairy cake childrens apron,4,2010-12-13 12:57:00,1.95,17338,United Kingdom,7.8
571216,71053,2011,10,5,13,white metal lantern,1,2011-10-14 13:06:00,3.75,16081,United Kingdom,3.75
546246,22907,2011,3,4,13,pack of 20 napkins pantry design,12,2011-03-10 13:28:00,0.85,14841,United Kingdom,10.2
568314,22866,2011,9,1,12,hand warmer scotty dog design,2,2011-09-26 12:58:00,2.1,14387,United Kingdom,4.2
568346,22431,2011,9,1,15,watering can blue elephant,1,2011-09-26 15:28:00,4.13,14096,United Kingdom,4.13
556671,22893,2011,6,1,16,mini cake stand t-light holder,11,2011-06-13 16:33:00,0.42,17841,United Kingdom,4.62
555488,23147,2011,6,5,13,single antique rose hook ivory,2,2011-06-03 13:43:00,1.45,16942,United Kingdom,2.9
580385,21376,2011,12,7,10,large  tall camphor wood toadstool ,2,2011-12-04 10:11:00,1.25,16326,United Kingdom,2.5
574475,21675,2011,11,5,12,butterflies stickers,12,2011-11-04 12:18:00,0.85,14132,United Kingdom,10.2
580054,85071A,2011,12,4,13,blue charlie+lola personal doorsign,8,2011-12-01 13:08:00,0.39,18122,United Kingdom,3.12
568868,23416,2011,9,4,12,chambre hook,12,2011-09-29 12:00:00,1.65,12957,United Kingdom,19.8
548861,22196,2011,4,1,13,small heart measuring spoons,12,2011-04-04 13:42:00,0.85,18185,United Kingdom,10.2
548466,22264,2011,3,4,12,felt farm animal white bunny ,12,2011-03-31 12:19:00,0.85,16386,United Kingdom,10.2
572216,79066K,2011,10,5,12,retro mod tray,2,2011-10-21 12:56:00,0.85,16015,United Kingdom,1.7
573405,23329,2011,10,7,15,decorative wicker heart large,3,2011-10-30 15:55:00,1.65,13822,United Kingdom,4.949999999999998
548952,22297,2011,4,2,10,heart ivory trellis small,6,2011-04-05 10:46:00,1.25,15572,United Kingdom,7.5
557033,84991,2011,6,4,13,60 teatime fairy cake cases,24,2011-06-16 13:48:00,0.55,13826,United Kingdom,13.2
573329,20717,2011,10,7,11,strawberry shopper bag,4,2011-10-30 11:19:00,1.25,14810,United Kingdom,5.0
555855,22758,2011,6,2,13,large purple babushka notebook  ,2,2011-06-07 13:56:00,1.25,15311,United Kingdom,2.5
561033,16161U,2011,7,7,11,wrap suki and friends,25,2011-07-24 11:40:00,0.42,14443,United Kingdom,10.5
568376,23355,2011,9,1,17,hot water bottle keep calm,24,2011-09-26 17:20:00,4.15,14031,United Kingdom,99.6
568909,23326,2011,9,4,13,hanging mini coloured bottles,48,2011-09-29 13:38:00,0.63,16818,United Kingdom,30.24
546436,22456,2011,3,1,9,natural slate chalkboard large ,3,2011-03-14 09:42:00,4.95,14962,United Kingdom,14.85
566482,22821,2011,9,2,9,gift bag psychedelic apples,12,2011-09-13 09:43:00,0.65,16609,United Kingdom,7.800000000000002
571120,85049E,2011,10,5,9,scandinavian reds ribbons,12,2011-10-14 09:06:00,1.25,16950,United Kingdom,15.0
566938,22439,2011,9,4,15,6 rocket balloons ,24,2011-09-15 15:48:00,0.65,14557,United Kingdom,15.6
558375,22037,2011,6,2,16,robot birthday card,12,2011-06-28 16:02:00,0.42,13418,United Kingdom,5.04
571293,22427,2011,10,7,15,enamel flower jug cream,1,2011-10-16 15:56:00,5.95,13956,United Kingdom,5.95
572243,22178,2011,10,5,15,victorian glass hanging t-light,18,2011-10-21 15:43:00,1.95,17361,United Kingdom,35.1
573576,23199,2011,10,1,14,jumbo bag apples,1,2011-10-31 14:09:00,4.13,14096,United Kingdom,4.13
570693,22899,2011,10,2,16,children's apron dolly girl ,2,2011-10-11 16:50:00,2.1,16161,United Kingdom,4.2
574909,23517,2011,11,1,15,embroidered ribbon reel rebecca ,1,2011-11-07 15:40:00,2.89,13673,United Kingdom,2.89
550473,22424,2011,4,1,13,enamel bread bin cream,1,2011-04-18 13:54:00,12.75,14623,United Kingdom,12.75
547651,21158,2011,3,4,12,moody girl door hanger ,1,2011-03-24 12:11:00,1.45,16904,United Kingdom,1.45
546985,22980,2011,3,5,12,pantry scrubbing brush,12,2011-03-18 12:41:00,1.65,18270,United Kingdom,19.8
556103,22773,2011,6,3,16,green drawer knob acrylic edwardian,12,2011-06-08 16:18:00,1.25,16011,United Kingdom,15.0
538379,22178,2010,12,7,11,victorian glass hanging t-light,6,2010-12-12 11:26:00,1.25,17126,United Kingdom,7.5
543484,20712,2011,2,3,10,jumbo bag woodland animals,10,2011-02-09 10:11:00,1.95,12721,France,19.5
578270,22817,2011,11,3,13,card suki birthday,2,2011-11-23 13:39:00,0.42,14096,United Kingdom,0.84
539214,21494,2010,12,4,12,rotating leaves t-light holder,15,2010-12-16 12:31:00,1.25,17062,United Kingdom,18.75
564093,21744,2011,8,2,10,snowflake portable table light ,12,2011-08-23 10:29:00,2.95,14930,Channel Islands,35.40000000000001
574707,21523,2011,11,7,14,doormat fancy font home sweet home,10,2011-11-06 14:08:00,7.08,17107,United Kingdom,70.8
566249,20972,2011,9,7,12,pink cream felt craft trinket box ,6,2011-09-11 12:09:00,1.25,13527,United Kingdom,7.5
550805,23206,2011,4,3,15,lunch bag apple design,10,2011-04-20 15:38:00,1.65,13162,United Kingdom,16.5
536988,22745,2010,12,5,15,poppy's playhouse bedroom ,2,2010-12-03 15:05:00,2.1,17238,United Kingdom,4.2
545052,22435,2011,2,7,12,set of 9 heart shaped balloons,12,2011-02-27 12:27:00,1.25,13971,United Kingdom,15.0
543300,21174,2011,2,1,11,pottering in the shed metal sign,6,2011-02-07 11:42:00,2.08,13334,United Kingdom,12.48
550196,23158,2011,4,5,10,set of 5 lucky cat magnets ,1,2011-04-15 10:09:00,2.08,14796,United Kingdom,2.08
571669,23512,2011,10,2,13,embroidered ribbon reel rosie,4,2011-10-18 13:11:00,2.08,17758,United Kingdom,8.32
569563,23073,2011,10,3,9,georgian trinket box,1,2011-10-05 09:46:00,12.5,12481,Germany,12.5
546314,72741,2011,3,4,19,grand chocolatecandle,9,2011-03-10 19:05:00,1.45,16808,United Kingdom,13.05
578053,23103,2011,11,2,14,jingle bell heart decoration,24,2011-11-22 14:59:00,1.65,14422,United Kingdom,39.6
541848,22328,2011,1,7,13,round snack boxes set of 4 fruits ,1,2011-01-23 13:31:00,2.95,17611,United Kingdom,2.95
550473,21466,2011,4,1,13,red flower crochet food cover,2,2011-04-18 13:54:00,3.75,14623,United Kingdom,7.5
571265,23091,2011,10,7,11,zinc herb garden container,1,2011-10-16 11:31:00,6.25,16674,United Kingdom,6.25
573393,22487,2011,10,7,15,white wood garden plant ladder,4,2011-10-30 15:08:00,8.5,14158,United Kingdom,34.0
556244,23284,2011,6,4,16,doormat keep calm and come in,2,2011-06-09 16:08:00,7.95,15867,United Kingdom,15.9
550188,21889,2011,4,4,18,wooden box of dominoes,12,2011-04-14 18:57:00,1.25,12457,Switzerland,15.0
553054,21213,2011,5,5,10,pack of 72 skull cake cases,1,2011-05-13 10:22:00,0.55,17886,United Kingdom,0.55
558679,M,2011,7,5,10,manual,1,2011-07-01 10:58:00,1.0,17800,United Kingdom,1.0
568095,23432,2011,9,5,14,pretty hanging quilted hearts,24,2011-09-23 14:49:00,0.83,14911,EIRE,19.92
537195,22502,2010,12,7,13,picnic basket wicker small,2,2010-12-05 13:55:00,5.95,15311,United Kingdom,11.9
569736,22733,2011,10,4,10,3d traditional christmas stickers,18,2011-10-06 10:44:00,1.25,14317,United Kingdom,22.5
541594,21111,2011,1,3,15,"swiss roll towel, chocolate  spots",24,2011-01-19 15:30:00,1.25,14916,United Kingdom,30.0
565438,23300,2011,9,7,13,gardeners kneeling pad cup of tea ,1,2011-09-04 13:56:00,1.65,17229,United Kingdom,1.65
559036,23053,2011,7,2,15,recycled acapulco mat pink,2,2011-07-05 15:14:00,8.25,12637,France,16.5
545152,22846,2011,2,1,12,bread bin diner style red ,2,2011-02-28 12:47:00,16.95,15227,United Kingdom,33.9
568241,22193,2011,9,1,12,red diner wall clock,2,2011-09-26 12:10:00,8.5,15218,United Kingdom,17.0
558041,21944,2011,6,5,13,kittens design flannel,12,2011-06-24 13:20:00,0.85,12422,Switzerland,10.2
536591,20978,2010,12,3,16,36 pencils tube skulls,2,2010-12-01 16:57:00,1.25,14606,United Kingdom,2.5
581429,23222,2011,12,4,15,christmas tree hanging gold,12,2011-12-08 15:41:00,0.83,16322,United Kingdom,9.96
560106,23191,2011,7,4,20,bundle of 3 retro note books,12,2011-07-14 20:01:00,1.65,17554,United Kingdom,19.8
544406,21896,2011,2,5,13,potting shed twine,3,2011-02-18 13:26:00,2.1,16726,United Kingdom,6.300000000000002
570983,21094,2011,10,4,11,set/6 red spotty paper plates,5,2011-10-13 11:57:00,0.85,14963,United Kingdom,4.25
578535,15036,2011,11,4,14,assorted colours silk fan,24,2011-11-24 14:52:00,0.83,13207,United Kingdom,19.92
539044,84030E,2010,12,3,15,english rose hot water bottle,4,2010-12-15 15:47:00,4.25,15727,United Kingdom,17.0
541126,22228,2011,1,5,10,bunny wooden painted with bird ,12,2011-01-14 10:10:00,0.85,15626,United Kingdom,10.2
554280,22386,2011,5,1,13,jumbo bag pink polkadot,10,2011-05-23 13:35:00,2.08,14817,United Kingdom,20.8
561462,22624,2011,7,3,12,ivory kitchen scales,10,2011-07-27 12:19:00,7.65,14088,United Kingdom,76.5
568668,23267,2011,9,3,13,set of 4 santa place settings,4,2011-09-28 13:00:00,1.25,15750,United Kingdom,5.0
566267,23294,2011,9,7,13,set of 6 snack loaf baking cases,8,2011-09-11 13:32:00,0.83,12647,Germany,6.64
581382,23111,2011,12,4,12,parisienne sewing box,2,2011-12-08 12:57:00,12.5,13860,United Kingdom,25.0
563062,23310,2011,8,4,15,bubblegum ring assorted,36,2011-08-11 15:25:00,0.42,17811,United Kingdom,15.12
555353,21669,2011,6,4,13,blue stripe ceramic drawer knob,6,2011-06-02 13:22:00,1.25,16928,United Kingdom,7.5
578307,23376,2011,11,3,15,pack of 12 vintage christmas tissue,6,2011-11-23 15:53:00,0.39,17290,United Kingdom,2.34
573381,23320,2011,10,7,14,giant 50's christmas cracker,4,2011-10-30 14:05:00,2.89,17590,United Kingdom,11.56
580632,84836,2011,12,1,12,zinc metal heart decoration,5,2011-12-05 12:16:00,1.25,16360,United Kingdom,6.25
561693,22178,2011,7,5,9,victorian glass hanging t-light,12,2011-07-29 09:48:00,1.25,15120,United Kingdom,15.0
567236,22941,2011,9,1,11,christmas lights 10 reindeer,2,2011-09-19 11:33:00,8.5,14735,United Kingdom,17.0
